sex,outcome,outcome_label,nonCGN_low_PC2,nonCGN_high_PC2,CGN_low_PC2,CGN_high_PC2,n_nonCGN_low_PC2,n_nonCGN_high_PC2,n_CGN_low_PC2,n_CGN_high_PC2,high_minus_low_nonCGN,high_minus_low_CGN,CGN_minus_nonCGN_at_low_PC2,CGN_minus_nonCGN_at_high_PC2
female,stem_any_ge_4,HS STEM interest ≥ 4,0.4325679598838743,0.688231094513702,0.5773038842345773,0.8304338713058059,34101,36418,11817,9542,0.2556631346298277,0.2531299870712286,0.14473592435070304,0.1422027767921039
female,stem_any_ge_5,HS STEM interest = 5,0.1713146242045687,0.361387226096985,0.2691038334602691,0.521903164954936,34101,36418,11817,9542,0.1900726018924163,0.25279933149466693,0.09778920925570042,0.16051593885795107
female,major_intent_y1_stem,Y1 intended STEM major,0.0327426358408637,0.0428009899548697,0.0629205310056374,0.0689318492481937,17042,20607,5499,5121,0.010058354114006005,0.00601131824255631,0.030177895164773698,0.026130859293324003
female,major_realized_y11_stem,Y11 realized STEM major,0.0717948717948717,0.0704434542754084,0.1132776230269266,0.1159638554216867,2925,4713,1077,1328,-0.0013514175194633132,0.0026862323947601102,0.04148275123205489,0.04552040114627831
female,stem_job_y11,Y11 STEM job,0.0031879194630872,0.0026102486605302,0.0052798310454065,0.0051599587203302,5960,7279,1894,1938,-0.0005776708025570002,-0.00011987232507630011,0.0020919115823193,0.0025497100598
female,eng_any_ge_4,HS engineering interest ≥ 4,0.1442772939209994,0.3033664671316382,0.2714733011762715,0.5584783064347097,34101,36418,11817,9542,0.15908917321063878,0.28700500525843825,0.1271960072552721,0.2551118393030716
female,eng_any_ge_5,HS engineering interest = 5,0.0505850268320577,0.1188148717667087,0.097063552509097,0.2665059735904422,34101,36418,11817,9542,0.06822984493465101,0.16944242108134522,0.0464785256770393,0.14769110182373352
female,major_intent_y1_engineering,Y1 intended engineering major,0.0005281070296913,0.000776435191925,0.0030914711765775,0.0025385666861941,17042,20607,5499,5121,0.0002483281622337,-0.0005529044903834,0.0025633641468862,0.0017621314942691002
female,major_realized_y11_engineering,Y11 realized engineering major,0.0034188034188034,0.0027583280288563,0.0064995357474466,0.0052710843373493,2925,4713,1077,1328,-0.0006604753899471,-0.0012284514100973,0.0030807323286432,0.002512756308493
female,engineering_job_y11,Y11 engineering job,0.0021812080536912,0.0016485781013875,0.0036958817317845,0.0041279669762641,5960,7279,1894,1938,-0.0005326299523037,0.0004320852444796002,0.0015146736780933,0.0024793888748766003
male,stem_any_ge_4,HS STEM interest ≥ 4,0.8267038256903978,0.964417337139891,0.7548359363805702,0.9182381086405854,31576,38530,13958,7106,0.13771351144949318,0.1634021722600152,-0.07186788930982757,-0.04617922849930556
male,stem_any_ge_5,HS STEM interest = 5,0.4822650114010641,0.7321308071632494,0.4285714285714285,0.651843512524627,31576,38530,13958,7106,0.24986579576218532,0.22327208395319853,-0.0536935828296356,-0.08028729463862239
male,major_intent_y1_stem,Y1 intended STEM major,0.1934846316363388,0.2012518054886856,0.1686291612152929,0.1764541387024608,14673,18693,6879,3576,0.007767173852346793,0.0078249774871679,-0.02485547042104591,-0.024797666786224803
male,major_realized_y11_stem,Y11 realized STEM major,0.3180899444163719,0.2700896782134693,0.2119794103883949,0.1693344566133108,3958,5687,2137,1187,-0.0480002662029026,-0.04264495377508409,-0.10611053402797699,-0.10075522160015848
male,stem_job_y11,Y11 STEM job,0.0460869565217391,0.0407604781794613,0.0323611666000799,0.0268166089965397,5750,6943,2503,1156,-0.005326478342277799,-0.005544557603540199,-0.013725789921659202,-0.013943869182921603
male,eng_any_ge_4,HS engineering interest ≥ 4,0.7505067139599696,0.9297171035556708,0.6144146725891961,0.8245144947931325,31576,38530,13958,7106,0.17921038959570124,0.21009982220393641,-0.13609204137077346,-0.10520260876253829
male,eng_any_ge_5,HS engineering interest = 5,0.4038510260957689,0.659563976122502,0.3016191431437168,0.5075992119335773,31576,38530,13958,7106,0.25571295002673305,0.20598006878986047,-0.1022318829520521,-0.15196476418892468
male,major_intent_y1_engineering,Y1 intended engineering major,0.0952088870714918,0.0977906168084309,0.0507341183311527,0.0497762863534675,14673,18693,6879,3576,0.002581729736939098,-0.000957831977685196,-0.04447476874033911,-0.0480143304549634
male,major_realized_y11_engineering,Y11 realized engineering major,0.1604345629105608,0.1318797256901705,0.0711277491810949,0.0488626790227464,3958,5687,2137,1187,-0.02855483722039029,-0.022265070158348492,-0.0893068137294659,-0.0830170466674241
male,engineering_job_y11,Y11 engineering job,0.0415652173913043,0.0365836093907532,0.0267678785457451,0.023356401384083,5750,6943,2503,1156,-0.004981608000551106,-0.0034114771616621,-0.014797338845559203,-0.013227208006670196
